segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25D2325650PE,PE,25650.0,2025-12-23,2025-12-15T10:16:00,40.55,40.55,1,150,50.0,60.824999999999996,60.824999999999996,50.0,0.0,0.0,0.0,0,,2025-12-15T10:16:00,,,,,
NIFTY,LIVE,CLOSED,BUY_PE,NIFTY0PE,PE,0.0,,2025-12-15T10:16:00,40.8,40.475,1,150,50.0,61.199999999999996,61.199999999999996,50.0,0.32499999999999574,48.74999999999936,0.7965686274509699,0,,2025-12-15T10:17:00,2025-12-15T10:17:00,40.475,Stop Loss order REJECTED - manual exit required,0.32499999999999574,48.74999999999936
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25D2325800PE,PE,25800.0,2025-12-23,2025-12-15T14:42:00,50.25,50.25,1,75,50.0,75.375,75.375,50.0,0.0,0.0,0.0,0,,2025-12-15T14:42:00,,,,,
NIFTY,LIVE,CLOSED,BUY_PE,NIFTY0PE,PE,0.0,,2025-12-15T10:29:00,66.8,67.15,1,75,50.0,100.19999999999999,100.19999999999999,50.0,-0.3500000000000085,-26.25000000000064,-0.5239520958083961,0,,2025-12-15T10:30:00,2025-12-15T10:30:00,67.15,Stop Loss order REJECTED - manual exit required,-0.3500000000000085,-26.25000000000064
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25D2325750PE,PE,25750.0,2025-12-23,2025-12-15T10:42:00,60.1,60.1,1,150,50.0,90.15,90.15,50.0,0.0,0.0,0.0,0,,2025-12-15T10:42:00,,,,,
NIFTY,LIVE,OPEN,SELL_CE,NIFTY26200CE,CE,26200.0,,2025-12-15T14:24:00,81.05,79.9,1,75,50.0,121.57499999999999,119.85000000000001,50.0,1.1499999999999915,86.24999999999936,1.4188772362738946,0,,2025-12-15T14:39:00,,,,,
NIFTY,LIVE,OPEN,SELL_CE,NIFTY25800CE,CE,25800.0,,2025-12-15T14:24:00,50.25,321.65,1,75,50.0,75.375,75.375,50.0,-271.4,-20355.0,-540.0995024875622,0,,2025-12-15T15:27:00,,,,,
