segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
NIFTY,LIVE,OPEN,SELL_CE,NIFTY26400CE,CE,26400.0,,2025-12-23T14:22:00,50.95,39.2,1,150,50.0,76.42500000000001,58.800000000000004,50.0,11.75,1762.5,23.061825318940137,0,,2025-12-23T14:57:00,,,,,
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25DEC26000PE,PE,26000.0,2025-12-30,2025-12-23T11:08:00,45.55,45.55,1,150,50.0,68.32499999999999,68.32499999999999,50.0,0.0,0.0,0.0,0,,2025-12-23T11:08:00,,,,,
NIFTY,LIVE,OPEN,SELL_CE,NIFTY26000CE,CE,26000.0,,2025-12-23T10:55:00,45.55,268.35,1,150,50.0,68.32499999999999,67.875,50.0,-222.8,-33420.0,-489.13282107574094,0,,2025-12-23T14:13:00,,,,,
