segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
NIFTY,LIVE,OPEN,SELL_CE,NIFTY26150CE,CE,26150.0,,2025-12-12T10:32:00,33.15,39.3,1,75,50.0,83.15,80.5,50.0,-6.149999999999999,-461.2499999999999,-18.552036199095017,0,,2025-12-12T11:47:00,,,,,
SENSEX,LIVE,OPEN,SELL_CE,SENSEX85600CE,CE,85600.0,,2025-12-12T10:33:00,227.45,266.1,1,20,50.0,277.45,265.75,50.0,-38.650000000000034,-773.0000000000007,-16.992745658386475,0,,2025-12-12T11:26:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_CE,BANKNIFTY59600CE,CE,59600.0,,2025-12-12T10:35:00,518.2,553.75,1,35,50.0,568.2,535.65,50.0,-35.549999999999955,-1244.2499999999984,-6.860285604013885,0,,2025-12-12T11:37:00,,,,,
SENSEX,LIVE,OPEN,SELL_PE,SENSEX25D1884700PE,PE,84700.0,2025-12-18,2025-12-12T11:29:00,165.55,165.55,1,20,50.0,215.55,215.55,50.0,0.0,0.0,0.0,0,,2025-12-12T11:29:00,,,,,
SENSEX,LIVE,OPEN,SELL_CE,SENSEX84700CE,CE,84700.0,,2025-12-12T10:33:00,165.55,775.4,1,20,50.0,215.55,215.55,50.0,-609.8499999999999,-12196.999999999998,-368.3781334944125,0,,2025-12-12T11:49:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_PE,BANKNIFTY25DEC59100PE,PE,59100.0,2025-12-30,2025-12-12T12:54:00,298.45,298.45,1,35,50.0,348.45,348.45,50.0,0.0,0.0,0.0,0,,2025-12-12T12:54:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_CE,BANKNIFTY59100CE,CE,59100.0,,2025-12-12T12:39:00,298.45,340.8428571428553,1,35,50.0,348.45,347.45,50.0,-42.39285714285529,-1483.7499999999352,-14.20434147859115,0,,2025-12-12T13:51:00,,,,,
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25D1625800PE,PE,25800.0,2025-12-16,2025-12-12T11:53:00,19.3,19.3,1,75,50.0,69.3,69.3,50.0,0.0,0.0,0.0,0,,2025-12-12T11:53:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_CE,BANKNIFTY0CE,CE,0.0,,2025-12-12T12:03:00,484.1,76341.47142857143,1,35,50.0,534.1,534.1,50.0,-75857.37142857142,-2655008.0,-15669.773069318617,0,,2025-12-12T12:06:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_CE,BANKNIFTY59700CE,CE,59700.0,,2025-12-12T12:39:00,475.0,476.15,1,35,50.0,525.0,515.65,50.0,-1.1499999999999773,-40.249999999999204,-0.24210526315788994,0,,2025-12-12T12:54:00,,,,,
SENSEX,LIVE,OPEN,SELL_CE,SENSEX85700CE,CE,85700.0,,2025-12-12T12:41:00,210.75,206.55,1,20,50.0,260.75,256.55,50.0,4.199999999999989,83.99999999999977,1.9928825622775748,0,,2025-12-12T12:51:00,,,,,
NIFTY,LIVE,OPEN,SELL_CE,NIFTY26200CE,CE,26200.0,,2025-12-12T12:41:00,25.75,25.65,1,75,50.0,75.75,75.65,50.0,0.10000000000000142,7.500000000000107,0.38834951456311234,0,,2025-12-12T12:51:00,,,,,
