segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
BANKNIFTY,PAPER,OPEN,BUY_PE,BANKNIFTY59200PE,PE,59200.0,,2025-12-03T09:50:00,59122.4,59003.85,28,980,50.0,59172.4,59172.4,50.0,3319.400000000081,3253012.00000008,5.614454081701829,3,,2025-12-03T10:25:00,,,,,
SENSEX,PAPER,OPEN,BUY_PE,SENSEX0PE,PE,0.0,,2025-12-03T10:00:00,84925.07,84847.97,50,1000,50.0,84975.07,84975.07,50.0,3855.000000000291,3855000.000000291,4.5392956402629885,5,2025-12-03T10:25:17.798457,2025-12-03T10:25:17.798457,,,,,
NIFTY,PAPER,OPEN,BUY_PE,NIFTY26050PE,PE,26050.0,,2025-12-03T13:37:00,104.31749999999847,111.87749999999924,1,75,50.0,154.31749999999846,154.31749999999846,50.0,7.5600000000007554,567.0000000000566,7.247106190237368,0,,2025-12-03T13:42:00,,,,,
BANKNIFTY,PAPER,OPEN,BUY_CE,BANKNIFTY59200CE,CE,59200.0,,2025-12-03T15:07:00,119.23200000000158,175.77,28,980,50.0,69.23200000000158,59345.85,50.0,56.53799999999843,55407.23999999846,47.41847826086762,3,2025-12-03T15:22:07.705011,2025-12-03T15:22:07.705011,,,,,
SENSEX,PAPER,OPEN,BUY_CE,SENSEX85000CE,CE,85000.0,,2025-12-03T15:07:00,88.4146000000037,117.925,21,420,50.0,38.4146000000037,85113.98,50.0,29.51039999999629,12394.367999998443,33.37729289053512,2,2025-12-03T15:17:07.876208,2025-12-03T15:17:07.876208,,,,,
