segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
NIFTY,PAPER,OPEN,SELL_CE,NIFTY25D0925950CE,CE,25950,12/9/2025,2025-12-05T10:32:00,178.3,178.3,1,75,50,228.3,228.3,50,0,0,0,0,,2025-12-05T10:32:00,,,,,
BANKNIFTY,PAPER,OPEN,BUY_PE,BANKNIFTY25DEC59400PE,PE,59400,12/30/2025,2025-12-05T09:57:00,503,487.6,1,35,50,453,453,50,-15.4,-539,-3.061630219,0,,2025-12-05T10:02:00,,,,,
BANKNIFTY,PAPER,OPEN,BUY_CE,BANKNIFTY25DEC59500CE,CE,59500,12/30/2025,2025-12-05T10:16:00,913.9,864.15,3,105,50,863.9,878.7,50,-49.75,-5223.75,-5.443702812,2,2025-12-05T10:26:09.110929,2025-12-05T10:26:09.110929,,,,,
NIFTY,PAPER,OPEN,BUY_CE,NIFTY25D0926000CE,CE,26000,12/9/2025,2025-12-05T10:16:00,184.65,181.8,3,225,50,134.65,146.6,50,-2.85,-641.25,-1.543460601,2,2025-12-05T10:26:08.863563,2025-12-05T10:26:08.863563,,,,,
SENSEX,PAPER,OPEN,BUY_CE,SENSEX25D1185400CE,CE,85400,12/11/2025,2025-12-05T10:21:00,567.2,525.45,2,40,50,517.2,517.2,50,-41.75,-1670,-7.360719323,1,2025-12-05T10:26:09.182345,2025-12-05T10:26:09.182345,,,,,
BANKNIFTY,PAPER,CLOSED,BUY_CE,BANKNIFTY25DEC59500CE,CE,0,12/30/2025,2025-12-05T10:16:00,0,863.9,3,105,50,-50,-50,50,0,0,0,2,,2025-12-05T10:26:00,2025-12-05T10:26:00,863.9,"Trailing Stop Loss hit (Profit: ₹175873.80, Entry: ₹913.90, Trailing SL: ₹59594.20, Current: ₹59538.50, Drop: 105.70 points)",0,0
SENSEX,PAPER,OPEN,SELL_CE,SENSEX25D1185200CE,CE,85200,12/11/2025,2025-12-05T10:32:00,547.55,547.55,1,20,50,597.55,597.55,50,0,0,0,0,,2025-12-05T10:32:00,,,,,
SENSEX,PAPER,OPEN,SELL_CE,SENSEX25D1185200CE,CE,85200.0,2025-12-11,2025-12-05T10:32:00,547.55,588.0,1,20,50.0,597.55,597.55,50.0,-40.450000000000045,-809.0000000000009,-7.387453200620957,0,,2025-12-05T10:42:00,,,,,
NIFTY,PAPER,OPEN,SELL_CE,NIFTY25D0925950CE,CE,25950.0,2025-12-09,2025-12-05T10:32:00,178.3,189.3,1,75,50.0,228.3,228.3,50.0,-11.0,-825.0,-6.16937745372967,0,,2025-12-05T10:42:00,,,,,
SENSEX,LIVE,OPEN,SELL_PE,SENSEX25D1185800PE,PE,85800.0,2025-12-11,2025-12-05T13:36:00,334.55,334.55,1,20,50.0,384.55,384.55,50.0,0.0,0.0,0.0,0,,2025-12-05T13:36:00,,,,,
SENSEX,LIVE,CLOSED,BUY_PE,SENSEX0PE,PE,0.0,,2025-12-05T13:36:00,0.0,343.5,1,20,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0,,2025-12-05T13:41:00,2025-12-05T13:41:00,343.5,"Stop Loss hit (Loss: ₹85382.41, Price rise: 85382.41 points)",0.0,0.0
