segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25D2325850PE,PE,25850.0,2025-12-23,2025-12-19T14:14:00,34.8,34.8,1,150,50.0,52.199999999999996,52.199999999999996,50.0,0.0,0.0,0.0,0,,2025-12-19T14:14:00,,,,,
NIFTY,LIVE,OPEN,SELL_CE,NIFTY26050CE,CE,26050.0,,2025-12-19T14:28:00,45.6,47.1,1,150,50.0,68.4,65.625,50.0,-1.5,-225.0,-3.289473684210526,0,,2025-12-19T14:48:00,,,,,
NIFTY,LIVE,CLOSED,BUY_PE,NIFTY0PE,PE,0.0,,2025-12-19T13:23:47.214528,62.5,323512.3767857143,1,75,50.0,93.75,93.75,50.0,-323449.8767857143,-24258740.75892857,-517519.8028571429,0,,2025-12-19T13:23:00,2025-12-19T13:23:00,323512.3767857143,"Stop Loss hit (Loss: ₹323449.88, Price rise: 323449.88 points)",-323449.8767857143,-24258740.75892857
