segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
SENSEX,PAPER,OPEN,BUY_CE,SENSEX25D0485200CE,CE,85200.0,2025-12-04,2025-12-04T10:22:00,226.6,279.95,50,1000,50.0,176.6,262.85,50.0,53.349999999999994,53349.99999999999,23.543689320388346,5,,2025-12-04T10:57:00,,,,,
NIFTY,PAPER,OPEN,BUY_CE,NIFTY25D0925950CE,CE,25950.0,2025-12-09,2025-12-04T10:22:00,195.25,172.4,20,1500,50.0,145.25,177.0,50.0,-22.849999999999994,-34274.99999999999,-11.70294494238156,4,,2025-12-04T11:42:00,,,,,
BANKNIFTY,PAPER,OPEN,BUY_CE,BANKNIFTY25DEC59400CE,CE,59400.0,2025-12-30,2025-12-04T10:27:00,889.65,880.0,28,980,50.0,839.65,867.35,50.0,-9.649999999999977,-9456.999999999978,-1.0846962288540412,3,,2025-12-04T10:57:00,,,,,
SENSEX,PAPER,OPEN,BUY_PE,SENSEX25D0485500PE,PE,85500.0,2025-12-04,2025-12-04T11:12:00,174.1,171.0,1,20,50.0,124.1,124.1,50.0,-3.0999999999999943,-61.999999999999886,-1.7805858701895432,0,,2025-12-04T11:17:00,,,,,
BANKNIFTY,PAPER,OPEN,BUY_CE,BANKNIFTY25DEC59200CE,CE,59200.0,2025-12-30,2025-12-04T12:32:00,903.5,823.0,28,980,50.0,853.5,853.5,50.0,-80.5,-78890.0,-8.909795240730492,3,2025-12-04T12:47:04.457635,2025-12-04T12:47:04.457635,,,,,
SENSEX,PAPER,OPEN,BUY_CE,SENSEX25D0485100CE,CE,85100.0,2025-12-04,2025-12-04T12:37:00,179.1,104.65,21,420,50.0,129.1,129.1,50.0,-74.44999999999999,-31268.999999999996,-41.56895589056393,2,2025-12-04T12:47:07.266959,2025-12-04T12:47:07.266959,,,,,
NIFTY,PAPER,OPEN,BUY_CE,NIFTY25D0925900CE,CE,25900.0,2025-12-09,2025-12-04T14:12:00,182.7,211.7,20,1500,50.0,132.7,170.85,50.0,29.0,43500.0,15.873015873015872,4,,2025-12-04T15:22:00,,,,,
